SAMPLE_NAME	READ_GROUP	AVG_SIZE


Reads available from NCBI SRA

SRR14708256	SRR14708256	4722MB
SRR14708257	SRR14708257	3663MB
SRR14708258	SRR14708258	4516MB
SRR14708259	SRR14708259	2904MB
SRR14708260	SRR14708260	3735MB
SRR14708261	SRR14708261	3821MB
SRR14708262	SRR14708262	3320MB
SRR14708263	SRR14708263	3606MB
SRR14708264	SRR14708264	4553MB
SRR14708265	SRR14708265	3392MB
SRR14708266	SRR14708266	3136MB
SRR14708267	SRR14708267	3932MB
SRR14708268	SRR14708268	3986MB
SRR14708269	SRR14708269	3211MB
SRR14708270	SRR14708270	4021MB
SRR14708271	SRR14708271	3729MB
SRR14708272	SRR14708272	5237MB
SRR14708273	SRR14708273	3917MB
SRR14708274	SRR14708274	4312MB
SRR14708275	SRR14708275	3594MB
SRR14708276	SRR14708276	4005MB
SRR14708277	SRR14708277	2645MB
SRR14708278	SRR14708278	4758MB
USO31	SRR351494.2	2185MB
SRR12845228	SRR12845228	21000MB
SRR12845227	SRR12845227	21000MB
Finola	SRR7285294.1	13631MB
JL	SRR10019825	21722MB
CBDRx	MJ-550	6970MB
CBDRx	MJ-350	8604MB
JL_DASH	20180619_MISEQ13_RSP11076_S7	231MB
JL_DASH	20180619_MISEQ13_RSP11075_S6	223MB
JL_DASH	20180607_MISEQ13_RSP11074_S1	3236MB
PK-SIL	SRR352169.2	1482MB
PK-SIL	SRR352168.2	2380MB
PK-SIL	SRR352166.2	2831MB
PK-SIL	SRR352165.2	3409MB
PK-SIL	SRR352164.2	3669MB
PK-SIL	SRR352163.2	4054MB
PK-SIL	SRR352162.2	2924MB
PK-SIL	SRR352161.2	1028MB


Reads available from kannaperdia
SSHXWWSCC_Pooled	SSHXWWSCC_Pooled	376MB
KushITSCC_TAGCTT	KushITSCC_TAGCTT	268MB
G4XSFMSCC_Pooled	G4XSFMSCC_Pooled	218MB
OGXPKSCC_Pooled	OGXPKSCC_Pooled	208MB
PKX808OGSCC_Pooled	PKX808OGSCC_Pooled	205MB
C4XCanatsuSCC_Pooled	C4XCanatsuSCC_Pooled	152MB
GreenCrackSCC_TGACCA	GreenCrackSCC_TGACCA	151MB
ArjanUltraHaze2_GCCAAT	ArjanUltraHaze2_GCCAAT	147MB
BlueDreamSCC_CAGATC	BlueDreamSCC_CAGATC	147MB
RollexKush_ATCACG	RollexKush_ATCACG	142MB
AfghanKush_CGATGT	AfghanKush_CGATGT	141MB
TrainwreckSCC_CGATGT	TrainwreckSCC_CGATGT	132MB
OGKushSCC_ACAGTG	OGKushSCC_ACAGTG	118MB
SensiStarXSFMSCC_Pooled	SensiStarXSFMSCC_Pooled	109MB
SuperLemonHaze_ACAGTG	SuperLemonHaze_ACAGTG	108MB
ChemdogXCherryPieSCC_TTAGGC	ChemdogXCherryPieSCC_TTAGGC	107MB
DiamondGirl_AGTCAA	DiamondGirl_AGTCAA	107MB
WhiteWidow_CAGATC	WhiteWidow_CAGATC	106MB
JackHerer_CAGATC	JackHerer_CAGATC	96MB
Afgooey_ACTTGA	Afgooey_ACTTGA	89MB
AlaskanIce_TTAGGC	AlaskanIce_TTAGGC	89MB
SecretOG_CAGATC	SecretOG_CAGATC	82MB
Breakthrough_CTTGTA	Breakthrough_CTTGTA	78MB
CanaTsuSCC_GATCAG	CanaTsuSCC_GATCAG	73MB
MicheNepalMale_ACTTGA	MicheNepalMale_ACTTGA	73MB
CBDMangoHaze_CAGATC	CBDMangoHaze_CAGATC	71MB
RedDevil_TAGCTT	RedDevil_TAGCTT	71MB
DeepPurpleHaze_GGCTAC	DeepPurpleHaze_GGCTAC	70MB
AK47_TGACCA	AK47_TGACCA	62MB
DakiniKushMale_TAGCTT	DakiniKushMale_TAGCTT	62MB
LuckyCharms_GGCTAC	LuckyCharms_GGCTAC	62MB
ChemDog18cycles_ATCACG	ChemDog18cycles_ATCACG	57MB
GirlScoutCookie_CTTGTA	GirlScoutCookie_CTTGTA	56MB
ArcataTrainWreck_ACAGTG	ArcataTrainWreck_ACAGTG	55MB
SourTsunami_TAGCTT	SourTsunami_TAGCTT	54MB
PureKush_GATCAG	PureKush_GATCAG	52MB
MoonshineHaze2_ATCACG	MoonshineHaze2_ATCACG	50MB
Cinex_CTTGTA	Cinex_CTTGTA	45MB
BlueBerryCheeseCakeBC2Fem_TAGCTT	BlueBerryCheeseCakeBC2Fem_TAGCTT	44MB
AustralianBastard_TTAGGC	AustralianBastard_TTAGGC	40MB
YeddiMale_GATCAG	YeddiMale_GATCAG	40MB
SnoopDream_GATCAG	SnoopDream_GATCAG	37MB
ChemDog_TTAGGC	ChemDog_TTAGGC	36MB
BlueBerryEssense_CAGATC	BlueBerryEssense_CAGATC	35MB
WonderWoman_ACTTGA	WonderWoman_ACTTGA	34MB
CaseyJones_ACAGTG	CaseyJones_ACAGTG	30MB
RioNegraMale_GGCTAC	RioNegraMale_GGCTAC	30MB
GrapeStomper_GATCAG	GrapeStomper_GATCAG	29MB
ChemDawg_ATCACG	ChemDawg_ATCACG	25MB
WIFI_ACTTGA	WIFI_ACTTGA	23MB
CheeseGHS_AGTTCC	CheeseGHS_AGTTCC	18MB
WZ_TGACCA	WZ_TGACCA	18MB
WIFIGTUBE_CGATGT	WIFIGTUBE_CGATGT	17MB
ChemDawg91_GCCAAT	ChemDawg91_GCCAAT	14MB
Ringo_ACAGTG	Ringo_ACAGTG	14MB
Haleys_CGATGT	Haleys_CGATGT	10MB
EastCoastSourDiesel_TTAGGC	EastCoastSourDiesel_TTAGGC	3MB
OGKushTest1_GCCAAT	OGKushTest1_GCCAAT	3MB
RSP11349	RSP11349_JLDASH	1036MB
RSP10082_TGCAT	RSP10082_JLDASH	70MB
RSP11074	RSP11074	3000MB

